Date,Close
1/2/2014 16:00:00,118
1/3/2014 16:00:00,119.29
1/6/2014 16:00:00,119.5
1/7/2014 16:00:00,118.82
1/8/2014 16:00:00,118.12
1/9/2014 16:00:00,118.46
1/10/2014 16:00:00,120.26
1/13/2014 16:00:00,121.02
1/14/2014 16:00:00,119.89
1/15/2014 16:00:00,119.66
1/16/2014 16:00:00,119.79
1/17/2014 16:00:00,120.93
1/21/2014 16:00:00,119.7
1/22/2014 16:00:00,119.19
1/23/2014 16:00:00,121.79
1/24/2014 16:00:00,122.29
1/27/2014 16:00:00,120.96
1/28/2014 16:00:00,120.95
1/29/2014 16:00:00,122.47
1/30/2014 16:00:00,119.77
1/31/2014 16:00:00,120.09
2/3/2014 16:00:00,121.32
2/4/2014 16:00:00,120.99
2/5/2014 16:00:00,121.29
2/6/2014 16:00:00,121.24
2/7/2014 16:00:00,122.17
2/10/2014 16:00:00,122.92
2/11/2014 16:00:00,124.36
2/12/2014 16:00:00,124.43
2/13/2014 16:00:00,125.49
2/14/2014 16:00:00,127.15
2/18/2014 16:00:00,127.4
2/19/2014 16:00:00,126.27
2/20/2014 16:00:00,127.6
2/21/2014 16:00:00,127.58
2/24/2014 16:00:00,128.99
2/25/2014 16:00:00,129.21
2/26/2014 16:00:00,128.11
2/27/2014 16:00:00,128.2
2/28/2014 16:00:00,127.62
3/3/2014 16:00:00,130.29
3/4/2014 16:00:00,128.68
3/5/2014 16:00:00,128.89
3/6/2014 16:00:00,130.17
3/7/2014 16:00:00,129.09
3/10/2014 16:00:00,129.13
3/11/2014 16:00:00,129.86
3/12/2014 16:00:00,131.76
3/13/2014 16:00:00,132.21
3/14/2014 16:00:00,133.1
3/17/2014 16:00:00,131.64
3/18/2014 16:00:00,130.62
3/19/2014 16:00:00,128.09
3/20/2014 16:00:00,127.86
3/21/2014 16:00:00,128.47
3/24/2014 16:00:00,126.18
3/25/2014 16:00:00,126.41
3/26/2014 16:00:00,125.41
3/27/2014 16:00:00,124.59
3/28/2014 16:00:00,124.56
3/31/2014 16:00:00,123.61
4/1/2014 16:00:00,123.39
4/2/2014 16:00:00,124.32
4/3/2014 16:00:00,123.92
4/4/2014 16:00:00,125.57
4/7/2014 16:00:00,124.91
4/8/2014 16:00:00,126.09
4/9/2014 16:00:00,126.32
4/10/2014 16:00:00,127.01
4/11/2014 16:00:00,126.93
4/14/2014 16:00:00,127.85
4/15/2014 16:00:00,125.49
4/16/2014 16:00:00,125.54
4/17/2014 16:00:00,124.75
4/21/2014 16:00:00,124.24
4/22/2014 16:00:00,123.78
4/23/2014 16:00:00,123.76
4/24/2014 16:00:00,124.56
4/25/2014 16:00:00,125.43
4/28/2014 16:00:00,124.88
4/29/2014 16:00:00,124.86
4/30/2014 16:00:00,124.22
5/1/2014 16:00:00,123.8
5/2/2014 16:00:00,125.06
5/5/2014 16:00:00,126.22
5/6/2014 16:00:00,125.98
5/7/2014 16:00:00,124.17
5/8/2014 16:00:00,124.17
5/9/2014 16:00:00,124.1
5/12/2014 16:00:00,124.94
5/13/2014 16:00:00,124.6
5/14/2014 16:00:00,125.81
5/15/2014 16:00:00,124.77
5/16/2014 16:00:00,124.5
5/19/2014 16:00:00,124.58
5/20/2014 16:00:00,124.69
5/21/2014 16:00:00,124.39
5/22/2014 16:00:00,124.67
5/23/2014 16:00:00,124.51
5/27/2014 16:00:00,121.85
5/28/2014 16:00:00,121.2
5/29/2014 16:00:00,120.94
5/30/2014 16:00:00,120.43
6/2/2014 16:00:00,119.7
6/3/2014 16:00:00,120.01
6/4/2014 16:00:00,119.76
6/5/2014 16:00:00,120.66
6/6/2014 16:00:00,120.61
6/9/2014 16:00:00,120.65
6/10/2014 16:00:00,121.39
6/11/2014 16:00:00,121.41
6/12/2014 16:00:00,122.64
6/13/2014 16:00:00,122.96
6/16/2014 16:00:00,122.42
6/17/2014 16:00:00,122.28
6/18/2014 16:00:00,122.67
6/19/2014 16:00:00,126.94
6/20/2014 16:00:00,126.5
6/23/2014 16:00:00,126.85
6/24/2014 16:00:00,126.98
6/25/2014 16:00:00,126.99
6/26/2014 16:00:00,126.73
6/27/2014 16:00:00,126.66
6/30/2014 16:00:00,128.04
7/1/2014 16:00:00,127.7
7/2/2014 16:00:00,127.7
7/3/2014 16:00:00,127.16
7/7/2014 16:00:00,127.02
7/8/2014 16:00:00,127.07
7/9/2014 16:00:00,127.84
7/10/2014 16:00:00,128.54
7/11/2014 16:00:00,128.78
7/14/2014 16:00:00,125.72
7/15/2014 16:00:00,124.53
7/16/2014 16:00:00,124.97
7/17/2014 16:00:00,127.09
7/18/2014 16:00:00,126.13
7/21/2014 16:00:00,126.34
7/22/2014 16:00:00,125.74
7/23/2014 16:00:00,125.62
7/24/2014 16:00:00,124.35
7/25/2014 16:00:00,125.79
7/28/2014 16:00:00,125.58
7/29/2014 16:00:00,125.2
7/30/2014 16:00:00,124.83
7/31/2014 16:00:00,123.39
8/1/2014 16:00:00,124.38
8/4/2014 16:00:00,123.99
8/5/2014 16:00:00,123.87
8/6/2014 16:00:00,125.67
8/7/2014 16:00:00,126.18
8/8/2014 16:00:00,126.19
8/11/2014 16:00:00,125.96
8/12/2014 16:00:00,125.99
8/13/2014 16:00:00,126.2
8/14/2014 16:00:00,126.31
8/15/2014 16:00:00,125.48
8/18/2014 16:00:00,124.96
8/19/2014 16:00:00,124.68
8/20/2014 16:00:00,124.22
8/21/2014 16:00:00,122.88
8/22/2014 16:00:00,123.19
8/25/2014 16:00:00,122.74
8/26/2014 16:00:00,123.35
8/27/2014 16:00:00,123.32
8/28/2014 16:00:00,124
8/29/2014 16:00:00,123.86
9/2/2014 16:00:00,121.65
9/3/2014 16:00:00,122.15
9/4/2014 16:00:00,121.48
9/5/2014 16:00:00,122.06
9/8/2014 16:00:00,120.73
9/9/2014 16:00:00,120.87
9/10/2014 16:00:00,120.26
9/11/2014 16:00:00,119.47
9/12/2014 16:00:00,118.38
9/15/2014 16:00:00,118.64
9/16/2014 16:00:00,118.83
9/17/2014 16:00:00,117.54
9/18/2014 16:00:00,117.78
9/19/2014 16:00:00,117.09
9/22/2014 16:00:00,116.85
9/23/2014 16:00:00,117.6
9/24/2014 16:00:00,117.05
9/25/2014 16:00:00,117.39
9/26/2014 16:00:00,117.06
9/29/2014 16:00:00,117.03
9/30/2014 16:00:00,116.21
10/1/2014 16:00:00,116.77
10/2/2014 16:00:00,116.74
10/3/2014 16:00:00,114.61
10/6/2014 16:00:00,116.03
10/7/2014 16:00:00,116.36
10/8/2014 16:00:00,117.47
10/9/2014 16:00:00,117.64
10/10/2014 16:00:00,117.59
10/13/2014 16:00:00,118.52
10/14/2014 16:00:00,118.59
10/15/2014 16:00:00,118.99
10/16/2014 16:00:00,119.22
10/17/2014 16:00:00,118.99
10/20/2014 16:00:00,119.8
10/21/2014 16:00:00,120.02
10/22/2014 16:00:00,119.34
10/23/2014 16:00:00,118.52
10/24/2014 16:00:00,118.35
10/27/2014 16:00:00,118.06
10/28/2014 16:00:00,118.1
10/29/2014 16:00:00,116.41
10/30/2014 16:00:00,115.19
10/31/2014 16:00:00,112.66
11/3/2014 16:00:00,112.15
11/4/2014 16:00:00,112.22
11/5/2014 16:00:00,109.79
11/6/2014 16:00:00,109.88
11/7/2014 16:00:00,112.97
11/10/2014 16:00:00,110.46
11/11/2014 16:00:00,112.04
11/12/2014 16:00:00,111.5
11/13/2014 16:00:00,111.67
11/14/2014 16:00:00,114.47
11/17/2014 16:00:00,114.05
11/18/2014 16:00:00,115.05
11/19/2014 16:00:00,113.68
11/20/2014 16:00:00,114.86
11/21/2014 16:00:00,115.39
11/24/2014 16:00:00,115.11
11/25/2014 16:00:00,115.38
11/26/2014 16:00:00,115.16
11/28/2014 16:00:00,112.11
12/1/2014 16:00:00,116.58
12/2/2014 16:00:00,115.14
12/3/2014 16:00:00,116.33
12/4/2014 16:00:00,115.88
12/5/2014 16:00:00,114.43
12/8/2014 16:00:00,115.78
12/9/2014 16:00:00,118.19
12/10/2014 16:00:00,117.96
12/11/2014 16:00:00,117.69
